selection,candidate,held_out_run,vector_rmse_mps,best_epoch,epochs_trained
speed_cap,2,bi_corr_400_a_01,0.18664961174197559,,
speed_cap,2.5,bi_corr_400_a_01,0.18664961174197559,,
speed_cap,3,bi_corr_400_a_01,0.18664961174197559,,
speed_cap,100,bi_corr_400_a_01,0.18664961174197559,,
ridge_penalty,0.01,bi_corr_400_a_01,0.18444842732514455,,
ridge_penalty,0.1,bi_corr_400_a_01,0.18444837821261426,,
ridge_penalty,1,bi_corr_400_a_01,0.18444788752109187,,
ridge_penalty,10,bi_corr_400_a_01,0.1844430238437499,,
ridge_penalty,100,bi_corr_400_a_01,0.184398574660018,,
mlp_configuration,0,bi_corr_400_a_01,0.1799103129833433,40.0,40.0
mlp_configuration,1,bi_corr_400_a_01,0.17145754992950377,40.0,40.0
mlp_configuration,2,bi_corr_400_a_01,0.1713883980148907,40.0,40.0
speed_cap,2,bi_corr_400_a_02,0.1977161100144488,,
speed_cap,2.5,bi_corr_400_a_02,0.1977161100144488,,
speed_cap,3,bi_corr_400_a_02,0.1977161100144488,,
speed_cap,100,bi_corr_400_a_02,0.1977161100144488,,
ridge_penalty,0.01,bi_corr_400_a_02,0.19599155698945506,,
ridge_penalty,0.1,bi_corr_400_a_02,0.19599157951092344,,
ridge_penalty,1,bi_corr_400_a_02,0.19599180534522262,,
ridge_penalty,10,bi_corr_400_a_02,0.1959941254497218,,
ridge_penalty,100,bi_corr_400_a_02,0.19602330834098652,,
mlp_configuration,0,bi_corr_400_a_02,0.20241440360831905,40.0,40.0
mlp_configuration,1,bi_corr_400_a_02,0.1854861734309715,40.0,40.0
mlp_configuration,2,bi_corr_400_a_02,0.1857882914132799,40.0,40.0
speed_cap,2,bi_corr_400_b_01,0.20565827596734576,,
speed_cap,2.5,bi_corr_400_b_01,0.20559447325815203,,
speed_cap,3,bi_corr_400_b_01,0.20559447325815203,,
speed_cap,100,bi_corr_400_b_01,0.20559447325815203,,
ridge_penalty,0.01,bi_corr_400_b_01,0.2090835934960825,,
ridge_penalty,0.1,bi_corr_400_b_01,0.20908392650311708,,
ridge_penalty,1,bi_corr_400_b_01,0.20908725781219728,,
ridge_penalty,10,bi_corr_400_b_01,0.20912069450685677,,
ridge_penalty,100,bi_corr_400_b_01,0.20946715722511403,,
mlp_configuration,0,bi_corr_400_b_01,0.2185908594670019,40.0,40.0
mlp_configuration,1,bi_corr_400_b_01,0.20304158038628936,40.0,40.0
