dataset,model,parameters,vector_rmse_mps,sem_vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,false_contact_rate
calibration,constant_velocity,0,0.22822446271925734,0.003624683583168954,0.07983484392820198,0.07730814905846373,15.48438349260591,0.8623788358253163,0.007636894682216797
calibration,social_force,4,0.22039756036582808,0.002879315446771411,0.07769642679381951,0.08083300574837401,14.580092899038972,0.8726318391568937,0.006982755781190673
calibration,isotropic_constrained,4,0.22039756036649383,0.0028793154382778428,0.07769642681092737,0.08083300574966008,14.580092991085861,0.8726318391756216,0.006982755781190673
calibration,isotropic_unconstrained,4,0.22039756036649383,0.0028793154382778428,0.07769642681092737,0.08083300574966008,14.580092991085861,0.8726318391756216,0.006982755781190673
calibration,shared_goal_frame,6,0.21415856613858467,0.003070776326057721,0.07503473895920221,0.07936103569151433,14.028380874313688,0.8790934279047633,0.0063388037048560586
calibration,decoupled_scalar_geometry,8,0.21441188747237225,0.003991594212157648,0.07476891977937927,0.07418477510697621,14.067865100134217,0.8769092168184758,0.0066076313163967604
calibration,tensor_persistence_only,2,0.20416517625184413,0.004513745379396442,0.07019169325688997,0.08124401812303646,13.210453150940493,0.8906591664969258,0.005777462243082807
calibration,tensor_no_isotropic,8,0.20186929188012984,0.004466638527392918,0.069154079804373,0.07813319383501909,12.602719223901692,0.8940314015305637,0.005204098735542185
calibration,tensor_no_forward,8,0.20177591191303954,0.004591837959645458,0.06911664044191673,0.07863555144377406,12.450346424279237,0.8944965905302678,0.005002148869424056
calibration,tensor_no_closing,8,0.2023540448832413,0.00443636161725103,0.06950935173285676,0.07832672995903969,12.988186254887077,0.892837803402163,0.005399998705137373
calibration,tensor_no_wall,9,0.2012777350287843,0.0045473064697752275,0.0689107149335165,0.07807511009218993,12.440909108734095,0.8951779446738242,0.005053594036559627
calibration,tensor_response,10,0.20119622164614662,0.004544862640786669,0.06888740549119764,0.07803564228571401,12.428814486585992,0.8952385420180383,0.005065209239037373
calibration,tensor_without_cap,10,0.20119622164614662,0.004544862640786669,0.06888740549119764,0.07803564228571401,12.428814486585992,0.8952385420180383,0.005065209239037373
calibration,unrestricted_ten_scalar,22,0.20106496036375063,0.0053235667535534645,0.06853098154707965,0.0783873361726067,12.26142836772816,0.895581182746732,0.0047846428623487
calibration,invariant_ridge,26,0.20056779247156578,0.005248183410580812,0.06842478296028802,0.07837820683598619,12.224515430869086,0.8965250178105336,0.004929693923762963
calibration,interaction_mlp,18434,0.1771938477641193,0.005234687021262737,0.06030706675772374,0.0728055665654045,9.528674761460882,0.9208872016564833,0.00400999000688028
calibration,goal_stable_neural,18434,0.17754012607059375,0.005281168764983779,0.06039521328894045,0.07300087221304853,9.56513609468312,0.9203590770296527,0.004009366078186813
calibration,tensor_residual,18700,0.17740284726200514,0.0049520194573627885,0.06050853673283168,0.07076442007442126,9.754639964763758,0.9205559708081541,0.0039040011741374543
calibration,tensor_residual_ungated,18700,0.17740284726200514,0.0049520194573627885,0.06050853673283168,0.07076442007442126,9.754639964763758,0.9205559708081541,0.0039040011741374543
